key,where,placeholders,en,cs
yLost5,"Y post: lost, variant 5.",{score} {opponent},Lost {score} to {opponent}. Regroup.,Prohráli jsme {score} s {opponent}. Přeskupit se.
yLost6,"Y post: lost, variant 6.",{score} {opponent},"{score} to {opponent}. Not a disgrace, not good enough.","{score} s {opponent}. Ne ostuda, ale málo."
yLost7,"Y post: lost, variant 7.",{score} {opponent},Beaten {score} by {opponent}. Learn something from it or it was wasted.,"Prohra {score} s {opponent}. Poučit se, nebo to bylo k ničemu."
yLost8,"Y post: lost, variant 8.",{score} {opponent},{score} to {opponent} and we did not lay a glove on them.,{score} s {opponent} a ani jsme se jich nedotkli.
yLost9,"Y post: lost, variant 9.",{opponent} {score},"Lost to {opponent}, {score}. Same problems, same month, same excuses coming.","Prohra s {opponent}, {score}. Stejné chyby, stejný měsíc, stejné výmluvy na cestě."
yLost10,"Y post: lost, variant 10.",{opponent} {score},{opponent} {score}. At what point does this stop being bad luck?,{opponent} {score}. Odkdy tohle přestává být smůla?
yLost11,"Y post: lost, variant 11.",{score} {opponent},Beaten {score} by {opponent}. That is a result that should cost somebody something.,Prohra {score} s {opponent}. Takový výsledek by měl někoho něco stát.
yLostBadly0,"Y post: lostBadly, variant 0.",{score} {opponent},"{score} to {opponent}. One bad night. Judge the side on the campaign, not this.","{score} s {opponent}. Jeden špatný večer. Soudit se má celá kampaň, ne tohle."
yLostBadly1,"Y post: lostBadly, variant 1.",{score} {opponent},Nobody wanted that {score} against {opponent} less than the players did.,Nikdo si {score} proti {opponent} nepřál míň než sami hráči.
yLostBadly2,"Y post: lostBadly, variant 2.",{opponent} {score},"{opponent} {score}. Ugly, and not who this team is.","{opponent} {score}. Ošklivé, a tenhle tým takový není."
yLostBadly3,"Y post: lostBadly, variant 3.",{score} {opponent},A {score} to forget against {opponent}. They will front up next time.,{score} na zapomenutí proti {opponent}. Příště se postaví čelem.
yLostBadly4,"Y post: lostBadly, variant 4.",{score} {opponent},{score}. To {opponent}. I have no words and I am paid to have words.,{score}. S {opponent}. Nemám slov a jsem placený za slova.
yLostBadly5,"Y post: lostBadly, variant 5.",{opponent} {score},{opponent} {score}. Somebody has to answer for that.,{opponent} {score}. Někdo se za to bude zodpovídat.
yLostBadly6,"Y post: lostBadly, variant 6.",{score} {opponent},I want the {score} against {opponent} struck from the record and from memory.,Chci {score} proti {opponent} vyškrtnout ze zápisu i z paměti.
yLostBadly7,"Y post: lostBadly, variant 7.",{score} {opponent},Beaten {score} by {opponent}. There is no spinning a scoreline like that.,Prohra {score} s {opponent}. Takový výsledek se okecat nedá.
yLostBadly8,"Y post: lostBadly, variant 8.",{opponent} {score},"That was not a defeat to {opponent}, it was a surrender. {score}.","To nebyla prohra s {opponent}, to byla kapitulace. {score}."
yLostBadly9,"Y post: lostBadly, variant 9.",{score} {opponent},{score}. Against {opponent}. People paid money to watch that.,{score}. S {opponent}. Lidé si za to koupili lístky.
yLostBadly10,"Y post: lostBadly, variant 10.",{opponent} {score},"{opponent} {score}. If that does not change something, nothing will.","{opponent} {score}. Jestli tohle něco nezmění, nezmění to nic."
yLostBadly11,"Y post: lostBadly, variant 11.",{score} {opponent},"I have seen this side humiliated before, but {score} by {opponent} is a new floor.","Viděl jsem tenhle tým ponížený už dřív, ale {score} s {opponent} je nové dno."
yTrophy0,"Y post: trophy, variant 0.",{opponent},CHAMPIONS. {opponent}. Say it out loud.,MISTŘI. {opponent}. Řekni to nahlas.
yTrophy1,"Y post: trophy, variant 1.",{opponent},We won it. {opponent}. I am not okay.,Vyhráli jsme to. {opponent}. Nejsem v pořádku.
yTrophy2,"Y post: trophy, variant 2.",{opponent},"{opponent}, and the trophy is coming home.","{opponent}, a pohár jede domů."
yTrophy3,"Y post: trophy, variant 3.",{opponent},Every single one of them a legend. {opponent}.,Každý z nich legenda. {opponent}.
yRunnerUp0,"Y post: runnerUp, variant 0.",{opponent},So close. {opponent} and a medal nobody wants.,"Tak blízko. {opponent} a medaile, kterou nikdo nechce."
yRunnerUp1,"Y post: runnerUp, variant 1.",{opponent},Runners-up at {opponent}. It will sting for years.,Druzí na {opponent}. Tohle bude bolet roky.
yRunnerUp2,"Y post: runnerUp, variant 2.",{opponent},{opponent}: one match from everything.,{opponent}: jeden zápas od všeho.
yRunnerUp3,"Y post: runnerUp, variant 3.",{opponent},Second. At {opponent}. Somebody pass the bottle.,Druhé místo. Na {opponent}. Podejte někdo láhev.
yEliminated0,"Y post: eliminated, variant 0.",{opponent},"Out at {opponent}. Same script, different year.","Konec na {opponent}. Stejný scénář, jiný rok."
yEliminated1,"Y post: eliminated, variant 1.",{opponent},{opponent} is where it ends. Again.,"{opponent} je místo, kde to končí. Zase."
yEliminated2,"Y post: eliminated, variant 2.",{opponent},Eliminated at {opponent}. Now the inquest.,Vyřazeni na {opponent}. A teď vyšetřování.
yEliminated3,"Y post: eliminated, variant 3.",{opponent},Knocked out at {opponent}. Somebody explain that to me.,Vypadli jsme na {opponent}. Ať mi to někdo vysvětlí.
yQualified0,"Y post: qualified, variant 0.",{opponent},WE ARE GOING TO {opponent}.,JEDEME NA {opponent}.
yQualified1,"Y post: qualified, variant 1.",{opponent},Qualified for {opponent}. Book the time off work.,Postup na {opponent}. Zařiďte si dovolenou.
yQualified2,"Y post: qualified, variant 2.",{opponent},"{opponent}, here we come. Never in doubt (it was entirely in doubt).","{opponent}, přicházíme. Nikdy jsme nepochybovali (pochybovali jsme pořád)."
yQualified3,"Y post: qualified, variant 3.",{opponent},Through to {opponent}. That is the hard part done.,Jsme na {opponent}. To těžké je za námi.
yGroupDrawn0,"Y post: groupDrawn, variant 0.",{opponent},Group drawn for {opponent}. Could be worse. Could be a lot worse.,Skupina pro {opponent} je venku. Mohlo být hůř. Mnohem hůř.
yGroupDrawn1,"Y post: groupDrawn, variant 1.",{opponent},So that is the {opponent} draw. Interesting.,Tak takhle dopadl los na {opponent}. Zajímavé.
yGroupDrawn2,"Y post: groupDrawn, variant 2.",{opponent},The {opponent} groups are out and I already do not like ours.,Skupiny na {opponent} jsou venku a ta naše se mi nelíbí.
yGroupDrawn3,"Y post: groupDrawn, variant 3.",{opponent},{opponent} draw made. Let the overreaction begin.,Los na {opponent} hotov. Ať začne přehánění.
yHostNamed0,"Y post: hostNamed, variant 0.",{opponent},{opponent} will host it. Start saving.,Pořádá {opponent}. Začněte šetřit.
yHostNamed1,"Y post: hostNamed, variant 1.",{opponent},"It is going to {opponent}. Predictable, but fine.","Jede se do {opponent}. Předvídatelné, ale dobře."
yHostNamed2,"Y post: hostNamed, variant 2.",{opponent},"{opponent} gets the tournament. Congratulations to them, I suppose.","Turnaj bere {opponent}. Gratuluji jim, asi."
yHostNamed3,"Y post: hostNamed, variant 3.",{opponent},Hosts confirmed: {opponent}.,Pořadatel potvrzen: {opponent}.
yTournamentSoon0,"Y post: tournamentSoon, variant 0.",{opponent},{opponent} starts soon and I cannot sit still.,{opponent} začíná brzy a já neposedím.
yTournamentSoon1,"Y post: tournamentSoon, variant 1.",{opponent},Not long now until {opponent}.,Už to nebude dlouho trvat do {opponent}.
yTournamentSoon2,"Y post: tournamentSoon, variant 2.",{opponent},"{opponent} is nearly here. Squad announcement, please.","{opponent} se blíží. Nominaci, prosím."
yTournamentSoon3,"Y post: tournamentSoon, variant 3.",{opponent},Countdown to {opponent} is officially unbearable.,Odpočet do {opponent} je oficiálně nesnesitelný.
navY,Bottom navigation label for the Y feed.,,Y,Y
yTitle,Title of the Y feed screen.,,Y,Y
yEmpty,Empty state on the Y feed.,,Nothing to say yet. Play a match.,Zatím není o čem. Odehraj zápas.
yEarlierHeading,Heading on the Y feed where the recent posts end and the older tournament news kept back from earlier in the cycle begins.,,Earlier this cycle,Dříve v tomto cyklu
hubEventGrievance,Player agency: hubEventGrievance.,{player},{player} wants a word,{player} si chce promluvit
hubEventGrievanceSub,Player agency: hubEventGrievanceSub.,,He wants to know where he stands,"Chce vědět, na čem je"
hubEventManagerSkills,Hub event: the once-a-cycle prompt to raise the manager's own skills.,"PLURAL — keep the {count, plural, …} skeleton exactly; translate only the words inside the branches","{count, plural, =1{1 skill point to spend} other{{count} skill points to spend}}","{count, plural, =1{1 bod dovedností k rozdělení} few{{count} body dovedností k rozdělení} other{{count} bodů dovedností k rozdělení}}"
hubEventManagerSkillsSub,Hub event subtitle: why the manager should spend his points.,,What you are good at makes your side better,"To, v čem jste dobří, dělá váš tým lepším"
grievanceTitle,Player agency: grievanceTitle.,,A word in your office,Slovo v kanceláři
grievanceGameTime,Player agency: grievanceGameTime.,{player},{player} has been in the squad and has not kicked a ball. He wants to know why.,{player} je v nominaci a nekopl do míče. Chce vědět proč.
grievanceSquadPlace,Player agency: grievanceSquadPlace.,{player},"{player} is not in the squad and cannot understand it. He wants telling, one way or the other.","{player} není v nominaci a nechápe to. Chce to slyšet, tak či tak."
grievanceRole,Player agency: grievanceRole.,{player},{player} keeps being played out of position and has had enough of it.,{player} hraje pořád mimo svůj post a má toho dost.
grievanceReassure,Player agency: grievanceReassure.,,You are in my plans,Počítám s tebou
grievanceHonest,Player agency: grievanceHonest.,,"You are behind others, and here is why","Jsi za ostatními, a tady je proč"
grievanceDismiss,Player agency: grievanceDismiss.,,I pick the team,Sestavu určuji já
yScorerStar0,Y post naming the match scorer and how many he got. Variant 0.,{name} {goals},{name} got {goals} of them. Nobody else is close.,{name} z toho dal {goals}. Nikdo jiný se nepřibližuje.
yScorerStar1,Y post naming the match scorer and how many he got. Variant 1.,{goals} {name},{goals} for {name}. He is carrying this side.,{goals} pro hráče {name}. Táhne celý tým.
yScorerStar2,Y post naming the match scorer and how many he got. Variant 2.,{name} {goals},{name}: {goals} on the day. Some player.,{name}: {goals} za zápas. To je fotbalista.
yScorerStar3,Y post naming the match scorer and how many he got. Variant 3.,{goals} {name},"Put {goals} past them, did {name}. Take a bow.",{goals} jim nasázel {name}. Klobouk dolů.
yScorerStar4,"Y post: scorerStar, variant 4.",{goals} {name},"{goals} for {name}, and the rest of them were passengers.","{goals} pro hráče {name}, ostatní se vezli."
yScorerStar5,"Y post: scorerStar, variant 5.",{name} {goals},{name} again. {goals}. Imagine this side without him.,Zase {name}. {goals}. Představte si ten tým bez něj.
yScorerStar6,"Y post: scorerStar, variant 6.",{goals} {name},{goals} from {name}. One man should not have to do this much.,{goals} od hráče {name}. Jeden člověk by toho neměl mít tolik na starost.
yScorerStar7,"Y post: scorerStar, variant 7.",{name} {goals},Take {name} out of that and it is {goals} fewer and a very different afternoon.,Vezměte odtud {name} a je to o {goals} míň a úplně jiné odpoledne.
yWinStreak0,Y post remarking on a run of wins. Variant 0.,{count},"{count} on the bounce. Whatever is being said in that dressing room, it is landing.","{count} v řadě. Ať se v kabině říká cokoli, funguje to."
yWinStreak1,Y post remarking on a run of wins. Variant 1.,{count},That is {count} straight. Sides do not stumble into runs like this.,Je to {count} za sebou. Do takové série se tým nepotká náhodou.
yWinStreak2,Y post remarking on a run of wins. Variant 2.,{count},{count} in a row and counting. The confidence is visible from the stands.,{count} výher v řadě a pokračuje se. Sebevědomí je vidět až na tribunu.
yWinStreak3,Y post remarking on a run of wins. Variant 3.,{count},No defeats in {count}. Ask anyone who has managed: that is the hard part.,"Ani jedna prohra v {count} zápasech. Zeptejte se kohokoli, kdo trénoval: tohle je to těžké."
yWinStreak4,"Y post: winStreak, variant 4.",{count},{count} in a row. Enjoy it while the fixtures are kind.,"{count} v řadě. Užijte si to, dokud je los milosrdný."
yWinStreak5,"Y post: winStreak, variant 5.",{count},"{count} straight, and we have beaten nobody of consequence.",{count} za sebou a neporazili jsme nikoho podstatného.
yWinStreak6,"Y post: winStreak, variant 6.",{count},A run of {count}. Ask me again when it is tested.,"Série {count} zápasů. Zeptejte se mě, až přijde zkouška."
yWinStreak7,"Y post: winStreak, variant 7.",{count},{count} on the trot. Every side has one of these in them once.,{count} v řadě. Tohle se jednou povede každému týmu.
yLossStreak0,Y post remarking on a run without a win. Variant 0.,{count},{count} without a win now. At some point the excuses run out.,Už {count} zápasů bez výhry. Výmluvy jednou dojdou.
yLossStreak1,Y post remarking on a run without a win. Variant 1.,{count},That is {count} in a row gone. This is not a blip any more.,To je {count} proher v řadě. Tohle už není výkyv.
yLossStreak2,Y post remarking on a run without a win. Variant 2.,{count},{count} straight defeats. Somebody has to answer for it.,{count} porážek za sebou. Někdo se z toho bude zpovídat.
